Frame,Stick X,Stick Y,Button Mask,Buttons Pressed
798,0,0,0x0100,D-Right
799,0,0,0x0100,D-Right
800,0,0,0x0100,D-Right
801,0,0,0x0020,L
802,0,0,0x0020,L
803,0,0,0x0020,L
804,0,0,0x0020,L
805,0,0,0x0020,L
806,0,0,0x0020,L
807,0,0,0x0020,L
808,0,0,0x0020,L
809,0,0,0x0020,L
810,0,0,0x0020,L
811,0,0,0x0020,L
812,0,0,0x0020,L
813,0,0,0x0020,L
814,0,0,0x0020,L
815,0,0,0x0020,L
816,0,0,0x0020,L
817,0,0,0x0020,L
818,0,0,0x0020,L
819,0,0,0x0020,L
820,0,0,0x0020,L
821,0,0,0x0020,L
822,0,0,0x0020,L
823,0,0,0x0020,L
824,0,0,0x0020,L
825,0,0,0x0020,L
826,0,0,0x0020,L
827,0,0,0x0020,L
828,0,0,0x0020,L
829,0,0,0x0020,L
830,0,0,0x0020,L
831,0,0,0x0020,L
832,0,0,0x0020,L
833,0,0,0x0020,L
834,0,0,0x0020,L
835,0,0,0x0020,L
836,0,0,0x0020,L
837,0,0,0x0020,L
838,0,0,0x0020,L
839,0,0,0x0020,L
840,0,0,0x0020,L
841,0,0,0x0020,L
842,0,0,0x0020,L
843,0,0,0x0020,L
844,0,0,0x0020,L
845,0,0,0x0020,L
846,0,0,0x0020,L
847,0,0,0x0020,L
848,0,0,0x0020,L
849,0,0,0x0020,L
850,0,0,0x0020,L
851,0,0,0x0020,L
852,0,0,0x0020,L
853,0,0,0x0020,L
854,0,0,0x0020,L
855,0,0,0x0020,L
856,0,0,0x0020,L
857,0,0,0x0020,L
858,0,0,0x0020,L
859,0,0,0x0020,L
860,0,0,0x0020,L
861,0,0,0x0020,L
862,0,0,0x0020,L
863,0,0,0x0020,L
864,0,0,0x0020,L
865,0,0,0x0020,L
866,0,0,0x0020,L
867,0,0,0x0020,L
868,0,0,0x0020,L
869,0,0,0x0020,L
870,0,0,0x0020,L
871,0,0,0x0020,L
872,0,0,0x0020,L
873,0,0,0x0020,L
874,0,0,0x0020,L
875,0,0,0x0020,L
876,0,0,0x0020,L
877,0,0,0x0020,L
878,0,0,0x0020,L
879,0,0,0x0020,L
880,0,0,0x0020,L
881,0,0,0x0020,L
882,0,0,0x0020,L
883,0,0,0x0020,L
884,0,0,0x0020,L
885,0,0,0x0020,L
886,0,0,0x0020,L
887,0,0,0x0020,L
888,0,0,0x0020,L
889,0,0,0x0020,L
890,0,0,0x0020,L
891,0,0,0x0020,L
892,0,0,0x0020,L
893,0,0,0x0020,L
894,0,0,0x0020,L
895,0,0,0x0020,L
896,0,0,0x0020,L
897,0,0,0x0020,L
898,0,0,0x0020,L
899,0,0,0x0020,L
900,0,0,0x0020,L
901,0,0,0x0010,R
902,0,0,0x0010,R
903,0,0,0x0010,R
